name,price,profit
Share-MOEX,40.6,16.69
Share-GBGY,27.08,34.09
Share-FJTI,33.5,20.81
Share-LGDP,15.26,3.4
Share-GEBJ,5.87,37.95
Share-GGNT,33.39,7.88
Share-TNOV,34.54,22.32
Share-CKCJ,25.49,10.37
Share-FUDY,7.03,19.96
Share-UZLL,16.66,19.4
Share-EMFC,32.38,30.46
Share-IZKC,40.45,0.8
Share-PWAT,24.36,9.64
Share-NWWZ,45.76,4.76
Share-AJGB,28.6,36.45
Share-SAPZ,22.52,11.93
Share-MNSA,44.49,22.76
Share-HATC,43.45,34.14
Share-QUIN,30.69,10.17
Share-CZFA,38.63,16.72
Share-GMHT,40.95,31.02
Share-GDNK,38.36,16.88
Share-TFWQ,25.49,17.62
Share-MHUQ,29.91,37.89
Share-PZAR,33.75,23.1
Share-QBGQ,19.63,25.52
Share-HPRB,33.43,32.43
Share-ENZZ,37.24,38.19
Share-OLFJ,43.8,28.11
Share-SJWC,31.98,1.77
Share-CGSX,32.29,30.11
Share-PSOJ,16.49,3.82
Share-WERP,24.67,35.15
Share-LRIX,9.94,9.25
Share-XHEE,23.46,22.49
Share-BOSL,41.4,10.68
Share-DEHD,30.97,13.34
Share-IOLP,19.28,11.24
Share-HOJS,34.19,8.58
Share-ZIJI,42.07,30.83
Share-YCGH,24.45,38.59
Share-ROOM,15.06,39.23
Share-MIHK,16.76,22.48
Share-ZZKC,17.92,28.33
Share-GDZR,25.11,26.67
Share-BLOZ,18.48,20.11
Share-XBET,26.57,11.3
Share-GWZB,14.73,24.83
Share-MJLJ,25.22,32.46
Share-PUWX,32.05,2.19
Share-FFZA,4.57,34.5
Share-MZYQ,38.88,15.02
Share-LOMC,30.82,1.87
Share-QWTM,31.88,1.41
Share-KLNI,49.68,3.12
Share-IWYJ,28.61,29.58
Share-XYUA,24.2,16.15
Share-OAVO,24.38,38.66
Share-SEHV,34.6,7.55
Share-UBWD,26.4,35.05
Share-EBJX,34.76,35.75
Share-BUAC,14.38,12.7
Share-XQII,13.42,39.51
Share-XAIO,31.75,32.79
Share-YHFO,15.18,20.6
Share-KNRV,5.85,4.45
Share-UYMS,24.78,7.08
Share-ZNVI,22.91,18.8
Share-BMHD,4.85,38.29
Share-YWCY,43.03,22.51
Share-GHIS,22.48,35.15
Share-BUGW,16.09,8.41
Share-KGJS,20.09,12.89
Share-HGSA,28.15,34.04
Share-GJHJ,38.56,14.7
Share-IADB,30.62,2.31
Share-DYVD,0.28,10.25
Share-XXGR,22.63,16.91
Share-RHIE,37.8,14.57
Share-ERXT,23.33,25.49
Share-LUNI,27.4,28.93
Share-EVZE,36.15,7.9
Share-YIFQ,15.85,34.64
Share-ERQY,17.3,0.71
Share-UJHM,18.19,20.96
Share-QBQM,39.76,5.1
Share-RYPH,43.47,2.19
Share-PLKN,28.24,30.97
Share-RURD,31.36,8.98
Share-MDLX,46.12,24.06
Share-IRSP,33.68,11.49
Share-XYMR,14.49,35.3
Share-MZYO,31.68,31.59
Share-DDLU,18.94,36.42
Share-GPGJ,23.39,21.54
Share-OSAQ,26.78,37.22
Share-SNYR,16.44,4.49
Share-PVAU,43.11,30.85
Share-PACD,24.19,12.97
Share-HQTP,23.49,6.73
Share-UPCV,32.45,38.9
Share-TBEA,6.85,3.71
Share-QWMB,21.45,15.82
Share-FSGV,16.41,22.64
Share-CREF,18.65,11.41
Share-RWJV,29.66,13.61
Share-XTJO,14.06,4.56
Share-PQXE,31.45,7.0
Share-RNSZ,28.16,8.96
Share-KPST,19.88,4.47
Share-UOPO,21.9,6.11
Share-SHKO,19.14,19.71
Share-BOGI,8.12,9.59
Share-IFCZ,35.97,36.97
Share-ZTKH,25.18,25.6
Share-MXLA,36.24,22.58
Share-VWRL,14.74,3.04
Share-BPWV,19.59,22.62
Share-DWSK,29.49,39.35
Share-ZFSS,42.55,25.23
Share-PNLH,36.64,4.51
Share-BYAC,9.16,13.42
Share-MCJD,29.98,23.25
Share-DBYP,26.7,0.5
Share-ZMEM,17.45,22.94
Share-GSQW,20.0,10.74
Share-DSRB,23.63,15.37
Share-FBUF,19.82,20.24
Share-FCSH,33.12,5.95
Share-LFXB,14.83,39.79
Share-LKDU,30.25,30.64
Share-JYGH,30.01,30.66
Share-TOUF,29.21,22.65
Share-WBUC,19.68,24.55
Share-DMWH,32.02,32.63
Share-VCAX,27.42,38.99
Share-VEES,21.46,10.87
Share-ZJJY,34.89,7.99
Share-LQEZ,34.46,23.18
Share-VKDR,33.89,0.7
Share-FFLH,19.47,6.15
Share-FIUH,20.07,2.63
Share-MIWG,14.98,14.55
Share-TWII,42.89,16.87
Share-IKGL,15.37,4.75
Share-OKKJ,34.17,7.16
Share-NGXI,25.12,4.54
Share-ZBMB,30.24,14.47
Share-BINC,28.28,23.62
Share-TXUW,13.95,26.45
Share-RBCS,9.4,30.1
Share-EKVH,11.02,20.13
Share-HLSI,16.7,7.74
Share-LIWC,25.44,4.84
Share-TBCG,30.47,5.04
Share-RXRT,26.12,27.09
Share-VQQX,9.62,37.78
Share-QVOY,17.28,11.33
Share-TGPO,14.38,35.25
Share-ULMZ,33.81,7.78
Share-SACC,33.01,8.71
Share-NILH,33.32,35.94
Share-TDDN,20.42,11.43
Share-AELM,25.51,25.43
Share-FFLB,26.59,19.17
Share-ZHJB,23.06,3.15
Share-LBVL,17.09,26.3
Share-ZZJX,23.26,36.19
Share-OQIM,29.75,31.2
Share-FELN,35.45,8.58
Share-IJOA,29.73,26.58
Share-SFQC,36.53,38.92
Share-FXQO,33.71,12.83
Share-DXMK,17.72,21.43
Share-YNBV,9.36,11.26
Share-WPUY,35.63,3.91
Share-BWED,24.3,38.52
Share-FFES,17.95,27.55
Share-WAPQ,25.97,27.06
Share-IJFT,40.91,38.89
Share-ZKSN,22.83,38.63
Share-RQHA,13.78,3.77
Share-JTPQ,23.51,2.79
Share-IWTG,11.75,35.05
Share-UTYJ,9.38,8.02
Share-OLJH,20.23,5.43
Share-QRVC,28.67,23.16
Share-CFHP,33.9,27.75
Share-FAPS,32.57,39.54
Share-JRJR,36.77,32.57
Share-YYXG,19.45,34.09
Share-DSOO,1.49,12.11
Share-BIJV,18.05,37.44
Share-JEWG,29.24,12.79
Share-QODF,30.91,26.77
Share-WPRY,6.46,10.71
Share-MSRD,41.52,0.61
Share-XPMP,36.14,27.26
Share-KGMP,32.57,37.77
Share-OFQO,22.91,34.94
Share-TUCI,23.94,20.01
Share-OCKK,3.16,36.39
Share-DLNE,44.06,36.74
Share-JAWY,31.0,8.0
Share-RMKL,17.16,14.01
Share-ZHDR,4.22,3.68
Share-GRVG,7.13,24.38
Share-BPPA,3.97,14.73
Share-HDJP,29.36,12.83
Share-DYFQ,31.8,22.62
Share-XEFZ,41.35,31.26
Share-YUAW,32.12,10.26
Share-DJZF,34.37,36.63
Share-WWYR,19.78,7.12
Share-JGTW,35.29,39.43
Share-FPKK,10.23,11.27
Share-TGDY,21.98,37.52
Share-XLUL,35.16,33.36
Share-FRMR,18.72,25.46
Share-CBVX,43.33,18.25
Share-FWMI,24.34,23.41
Share-GBUK,25.36,17.82
Share-BBNF,3.29,28.48
Share-FNTB,39.06,12.24
Share-ROAL,21.08,13.19
Share-DVGV,27.55,1.69
Share-AROQ,37.11,2.09
Share-OWMP,9.43,23.39
Share-CFDA,21.7,32.82
Share-BDCW,31.46,33.81
Share-KFMH,31.05,32.89
Share-DHIE,11.03,20.59
Share-SBXE,43.11,17.99
Share-ZVCC,18.35,20.42
Share-AAXN,33.88,2.54
Share-CXYC,8.5,35.73
Share-UMKL,20.68,3.83
Share-SODF,18.72,34.15
Share-VUMM,36.71,38.31
Share-EOMZ,38.0,17.61
Share-QVUJ,47.27,7.18
Share-MNKR,28.36,24.82
Share-GIXZ,17.23,35.66
Share-LKSD,0.12,9.14
Share-NFTL,26.08,19.3
Share-EOEN,11.96,27.67
Share-KQPV,15.27,16.5
Share-EGHA,27.27,9.71
Share-NESS,37.52,15.65
Share-TBCK,23.36,0.49
Share-UDRD,36.88,19.92
Share-VNUT,30.18,10.88
Share-CTBT,22.53,1.52
Share-TVSH,19.74,28.08
Share-HQHI,36.56,22.24
Share-XLSC,32.49,7.65
Share-CQPJ,24.73,12.06
Share-OBUD,30.74,20.69
Share-CLOD,28.0,11.79
Share-QPDS,19.19,22.79
Share-USPX,20.7,11.1
Share-TMRA,17.72,34.66
Share-GGCX,26.26,27.5
Share-FAKH,7.65,38.46
Share-LJDZ,25.25,32.47
Share-MZLD,14.98,36.62
Share-EAWS,6.23,7.33
Share-HPWH,26.76,33.57
Share-GWLR,44.0,9.48
Share-OMTW,29.62,1.32
Share-UBFI,25.59,30.77
Share-CWXW,32.49,13.9
Share-KVRJ,21.03,21.91
Share-AXQS,30.59,14.59
Share-OZPK,27.29,14.02
Share-GLFG,8.52,5.8
Share-NDSA,27.98,23.29
Share-HPAE,33.19,23.93
Share-SURL,40.57,7.72
Share-PILL,15.36,31.89
Share-YBHP,9.53,10.79
Share-LDUX,33.71,27.64
Share-IGRU,29.73,9.99
Share-KMHQ,21.2,36.69
Share-XYXF,33.13,5.71
Share-BCMT,30.0,34.45
Share-YPVN,30.02,34.97
Share-EURX,22.82,15.03
Share-UNGP,32.88,33.2
Share-GWPH,11.62,12.27
Share-NGBD,20.12,7.99
Share-OZRS,20.76,22.39
Share-YFTA,39.77,32.82
Share-XDKC,44.74,20.55
Share-EPTK,20.35,35.89
Share-BTJG,29.58,3.74
Share-GITY,17.03,20.1
Share-SWNS,14.79,2.14
Share-BKDR,16.33,0.69
Share-CIGZ,33.17,3.62
Share-FEWX,10.94,12.14
Share-HNRK,24.64,6.33
Share-DMCN,25.31,22.47
Share-NTHP,8.91,6.32
Share-URZP,39.54,14.98
Share-KPDP,18.73,5.06
Share-PQAL,25.73,1.07
Share-FCHD,12.39,38.28
Share-GEDB,28.1,26.53
Share-NJGR,20.98,0.68
Share-DGVO,15.59,17.89
Share-XNVJ,31.33,23.64
Share-VVYP,11.07,36.92
Share-BIIT,20.36,26.27
Share-LOFX,42.54,15.0
Share-JWGF,48.69,39.93
Share-EVAU,37.92,29.57
Share-ALIY,29.08,39.93
Share-ACFX,29.75,10.99
Share-PBUC,26.13,34.12
Share-FNQA,23.96,17.82
Share-TCEJ,29.47,9.0
Share-LOGV,31.01,18.26
Share-ALUE,38.3,8.36
Share-KPBW,8.23,37.21
Share-NDKR,33.06,39.91
Share-QEVK,49.77,34.38
Share-VAXN,15.74,8.35
Share-PXQN,13.75,11.84
Share-CBYJ,27.41,36.2
Share-JMAE,45.33,0.28
Share-HIRE,13.62,21.12
Share-VCXT,29.19,39.22
Share-FJKT,22.65,6.24
Share-NAFI,34.41,35.83
Share-ZQUC,30.29,35.03
Share-CGKF,20.76,2.46
Share-LVOE,28.7,26.27
Share-IZLJ,23.02,32.68
Share-HQJQ,22.69,12.69
Share-GUFP,32.2,14.84
Share-MJMB,20.69,20.21
Share-RREX,23.07,14.11
Share-ESIQ,44.85,25.26
Share-XVSR,30.95,9.25
Share-XRFP,26.61,35.9
Share-XLLI,23.39,11.63
Share-TOTF,40.06,12.0
Share-NISD,18.07,31.08
Share-XFGQ,22.82,19.38
Share-XDSF,12.76,18.05
Share-ITCO,29.87,1.51
Share-LLKD,17.55,22.73
Share-IBKM,27.23,18.08
Share-FUGM,1.94,16.83
Share-TQDR,37.53,1.63
Share-QHPB,20.77,27.74
Share-AQXM,11.88,16.22
Share-VRJZ,31.83,34.86
Share-SMRB,8.06,2.49
Share-YHVQ,22.37,33.39
Share-QBIL,28.52,25.41
Share-JMLZ,1.27,24.71
Share-ZLMC,2.47,31.45
Share-GXBP,25.96,1.12
Share-HHSE,16.28,24.55
Share-UWVI,23.16,8.75
Share-ZBIH,40.67,3.46
Share-DQXJ,7.64,25.63
Share-SCWM,6.42,38.1
Share-UVXN,24.18,0.33
Share-ZKOZ,13.65,26.62
Share-KOVS,3.3,15.43
Share-OZDD,34.74,10.7
Share-GIUG,36.74,4.23
Share-ZPEC,43.95,18.73
Share-WKQC,30.58,34.92
Share-LLWI,31.8,5.58
Share-EAWG,38.02,8.44
Share-JAQD,26.78,15.0
Share-PUWS,17.8,23.49
Share-XHGB,24.98,18.98
Share-OEYT,14.92,32.1
Share-XLYG,31.06,35.2
Share-LNWD,13.78,25.51
Share-SKXD,26.23,15.46
Share-RLIR,31.33,20.04
Share-EFFN,32.25,22.14
Share-OIWF,29.45,1.83
Share-ESBR,18.89,7.94
Share-DFGJ,40.44,32.69
Share-REWP,8.72,12.66
Share-IZZC,22.24,37.96
Share-NJZA,23.18,7.02
Share-JXIT,33.18,21.21
Share-YLSV,33.17,7.01
Share-VGTY,16.36,2.89
Share-PATS,27.7,39.97
Share-KREV,34.5,13.81
Share-QSRS,33.12,8.59
Share-DLCU,47.31,12.86
Share-OXEG,19.68,28.61
Share-STKC,37.31,31.26
Share-UUAX,35.36,22.05
Share-DBOZ,15.35,1.26
Share-FWMV,41.68,35.8
Share-NEBB,30.52,2.05
Share-GNHL,10.94,12.59
Share-HLRR,12.11,20.6
Share-RLXE,22.5,28.06
Share-ASTA,40.06,24.04
Share-BMQQ,27.67,22.5
Share-CDME,24.47,22.92
Share-PDIM,32.37,26.89
Share-EBSL,29.67,34.32
Share-BQOC,32.45,31.1
Share-BKIO,34.74,35.5
Share-QVJV,7.85,5.5
Share-KOIS,29.14,5.06
Share-GFHS,25.33,34.07
Share-EWAK,31.03,5.49
Share-PSMF,33.45,38.87
Share-JHVS,24.24,32.28
Share-HLNE,18.42,10.04
Share-JKQV,18.53,19.69
Share-JHKE,16.19,29.24
Share-LAIC,8.57,28.37
Share-NXID,27.88,29.03
Share-ZXMU,26.21,14.2
Share-TQKI,34.66,25.26
Share-HPXC,45.39,3.21
Share-UXKW,43.27,28.74
Share-FEST,18.96,2.42
Share-UMVN,27.94,3.66
Share-SWAT,11.67,13.77
Share-ANFX,38.55,39.72
Share-SQKE,29.48,8.99
Share-BNSD,12.78,0.55
Share-XFCI,30.31,30.65
Share-SMHV,14.66,12.77
Share-VWZM,40.41,36.2
Share-XFFR,21.73,4.99
Share-ZXET,17.97,2.95
Share-FOAV,26.17,23.59
Share-QPVO,18.34,9.03
Share-MASZ,31.51,4.55
Share-FVRD,34.27,8.38
Share-MJYL,29.91,9.18
Share-UYFV,33.3,26.4
Share-DOVC,10.62,8.12
Share-NFLQ,25.89,34.78
Share-BDKN,22.79,4.7
Share-OPBR,39.0,38.95
Share-ZAWK,26.43,31.99
Share-JLUZ,34.32,18.67
Share-BZHY,24.22,1.75
Share-TRGC,16.95,21.53
Share-LZXM,26.4,11.74
Share-EUFT,25.4,7.13
Share-BWCG,13.29,12.28
Share-VGBO,23.61,28.19
Share-MXQF,42.13,15.05
Share-JCWZ,3.86,8.13
Share-HKOT,25.39,3.46
Share-WHVN,13.23,14.31
Share-MBCK,41.85,12.01
Share-MVUM,19.16,23.4
Share-LJWS,17.6,29.2
Share-JIEN,26.04,29.03
Share-BIDH,23.63,7.51
Share-VVGN,28.79,24.61
Share-RWIW,8.93,18.65
Share-OJKC,29.15,33.19
Share-GMIB,24.22,11.92
Share-AVCY,16.83,5.57
Share-AIEB,27.14,7.6
Share-WHHK,15.17,4.1
Share-XHVF,29.05,25.53
Share-KPKI,21.32,12.42
Share-AOEQ,10.2,0.83
Share-GKDH,32.41,36.94
Share-KSGY,28.67,2.45
Share-DVFT,15.51,9.54
Share-QLZZ,32.15,10.56
Share-MOOJ,17.29,19.9
Share-ZKSM,32.55,23.24
Share-NQNX,35.78,30.98
Share-ZOXW,36.05,5.87
Share-YFVZ,22.55,39.1
Share-KRRA,15.28,34.9
Share-XJCP,50.88,4.68
Share-LRGQ,35.83,5.19
Share-ZWKX,23.65,5.62
Share-WNWL,26.38,35.55
Share-UUEZ,23.22,8.72
Share-XGNC,41.86,35.14
Share-YEIX,22.78,3.11
Share-FRHE,26.18,10.75
Share-LXZU,4.24,39.54
Share-PBOM,31.93,5.7
Share-TQMM,10.7,24.3
Share-MEQV,5.49,38.27
Share-BNIN,35.39,21.76
Share-SSJB,28.35,20.23
Share-YRAH,37.34,33.01
Share-USJZ,35.49,34.37
Share-QTFR,5.91,3.23
Share-DEPW,2.3,10.47
Share-LOMD,18.96,10.14
Share-MALJ,46.37,32.88
Share-JKFA,29.51,1.92
Share-IAAD,36.66,0.54
Share-PSAO,24.82,25.86
Share-JWDZ,2.09,32.2
Share-QRFQ,17.34,0.74
Share-OUKR,40.23,8.29
Share-QWCV,33.57,17.11
Share-QLWT,37.63,38.27
Share-ZOEN,33.47,2.42
Share-TEKS,19.17,0.15
Share-LTYL,39.96,32.04
Share-UABE,43.23,28.73
Share-PLLK,19.94,39.91
Share-POQJ,39.65,10.93
Share-ZOFA,25.32,39.78
Share-FZJS,21.49,31.57
Share-FWBE,18.31,39.82
Share-RGUQ,47.79,18.47
Share-EIZB,28.17,0.91
Share-JSMQ,29.86,7.55
Share-IRUN,20.34,21.38
Share-MBQU,51.46,35.78
Share-ZGFP,11.69,31.0
Share-IXCI,26.32,39.4
Share-JSJH,28.84,34.45
Share-ICHU,28.94,11.52
Share-GYES,12.71,25.9
Share-ECAQ,31.66,39.49
Share-NDMH,23.12,19.79
